   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.03081645    0.49999994    0.46918347    0.06163291    0.05897926    0.95694041    0.52249640    0.52249849    0.46183127    0.00000000    0.00000000    0.00000000    0.00008955
  0.00000000    0.00091654    0.47010005    0.46918350    0.00194966    0.00259502    0.61964679    0.35319006    0.75865811    0.75402123    1.41113520    6.30517864    0.00000339    0.00016449
  0.10000000    0.00080896    0.41180936    0.41100040    0.00196440    0.00229720    0.54425478    0.35214877    0.75664812    0.75198776    1.42022836    6.32746315    0.00060419    0.00014495
  0.20000000    0.00071276    0.36064065    0.35992789    0.00197636    0.00202467    0.47754228    0.35203677    0.75520152    0.75052685    1.42629004    6.30768394    0.00106648    0.00012864
  0.30000001    0.00062731    0.31576997    0.31514266    0.00198661    0.00177978    0.41875029    0.35246566    0.75407702    0.74939394    1.43254936    6.38671064    0.00142034    0.00011437
  0.40000001    0.00055361    0.27642959    0.27587599    0.00200272    0.00156863    0.36702543    0.35292664    0.75316197    0.74845481    1.43869102    6.17397022    0.00168535    0.00010248
  0.50000000    0.00048763    0.24196191    0.24147427    0.00201533    0.00138288    0.32157439    0.35262209    0.75242907    0.74769723    1.44839203    6.15091085    0.00186937    0.00009209
  0.60000002    0.00042931    0.21175441    0.21132509    0.00202741    0.00121399    0.28165177    0.35363856    0.75183058    0.74708617    1.45284712    6.30260420    0.00200175    0.00008252
  0.70000005    0.00037897    0.18530029    0.18492132    0.00204516    0.00106853    0.24663104    0.35466328    0.75132591    0.74655485    1.45128393    6.41680670    0.00207534    0.00007543
  0.80000007    0.00033647    0.16213231    0.16179584    0.00207530    0.00094134    0.21591318    0.35744232    0.75091439    0.74610317    1.44602287    6.29916668    0.00210919    0.00006825
  0.90000010    0.00029823    0.14185791    0.14155968    0.00210229    0.00082947    0.18899496    0.35953942    0.75059098    0.74574000    1.45178831    6.07135630    0.00210801    0.00006271
  1.00000012    0.00026506    0.12410625    0.12384119    0.00213575    0.00072979    0.16540268    0.36320269    0.75032794    0.74543643    1.45100999    6.04549360    0.00208472    0.00005869
  1.10000014    0.00023714    0.10858061    0.10834347    0.00218402    0.00064683    0.14474703    0.36662018    0.75014049    0.74517220    1.45592642    6.17258167    0.00203657    0.00005528
  1.20000017    0.00021318    0.09499148    0.09477829    0.00224424    0.00057209    0.12665252    0.37264293    0.75001645    0.74496824    1.45745134    6.23033619    0.00197672    0.00005224
  1.30000019    0.00019282    0.08309910    0.08290628    0.00232040    0.00050945    0.11080274    0.37849557    0.74997330    0.74480861    1.46039593    5.67866039    0.00190194    0.00005127
  1.40000021    0.00017581    0.07269708    0.07252127    0.00241845    0.00045427    0.09693974    0.38702488    0.74992031    0.74461734    1.46243548    5.93992138    0.00182332    0.00005027
  1.50000024    0.00016179    0.06359757    0.06343579    0.00254398    0.00040678    0.08480554    0.39773577    0.74992239    0.74444383    1.45728636    6.04560041    0.00173606    0.00004943
  1.60000026    0.00015070    0.05563974    0.05548904    0.00270851    0.00036782    0.07418898    0.40970841    0.74997306    0.74425179    1.45919466    5.46726894    0.00164895    0.00004948
  1.70000029    0.00014235    0.04867502    0.04853267    0.00292442    0.00033484    0.06489459    0.42512110    0.75006270    0.74403024    1.46883297    5.15045309    0.00155927    0.00005049
