   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.040245      0.500000      0.459755      0.080489      0.074332      1.082840      0.541420      0.461749      0.397309      0.000000      0.000000      0.000000      0.003264
    0.000000      0.020412      0.480168      0.459755      0.042511      0.044916      0.670082      0.454449      0.716580      0.643016      0.999497      0.997944      0.000112      0.005677
    0.100000      0.017578      0.412718      0.395140      0.042590      0.038722      0.579044      0.453954      0.712757      0.639627      0.999894      1.003846      0.001453      0.004895
    0.200000      0.015110      0.354565      0.339455      0.042615      0.033240      0.499007      0.454567      0.710542      0.637778      0.999324      0.999280      0.002463      0.004200
    0.300000      0.012984      0.304442      0.291457      0.042650      0.028593      0.429424      0.454116      0.708954      0.636347      0.999434      1.004516      0.003186      0.003595
    0.400000      0.011152      0.261304      0.250152      0.042678      0.024556      0.369196      0.454142      0.707765      0.635304      0.999196      0.995679      0.003655      0.003109
    0.500000      0.009580      0.224215      0.214635      0.042726      0.021111      0.317138      0.453797      0.706996      0.634549      1.001749      0.994306      0.003963      0.002663
    0.600000      0.008215      0.192359      0.184144      0.042708      0.018105      0.272267      0.453754      0.706510      0.634165      0.999604      1.001619      0.004125      0.002282
    0.700000      0.007050      0.164998      0.157948      0.042729      0.015556      0.233700      0.453216      0.706025      0.633678      1.001107      0.992569      0.004217      0.001953
    0.800000      0.006042      0.141520      0.135478      0.042693      0.013329      0.200521      0.453300      0.705763      0.633521      0.999698      0.999140      0.004200      0.001681
    0.900000      0.005183      0.121365      0.116182      0.042706      0.011434      0.171980      0.453288      0.705693      0.633440      1.000381      0.998458      0.004126      0.001445
    1.000000      0.004444      0.104080      0.099635      0.042700      0.009807      0.147472      0.453151      0.705760      0.633495      0.998845      1.004362      0.003998      0.001231
    1.100000      0.003815      0.089251      0.085436      0.042746      0.008413      0.126479      0.453447      0.705659      0.633363      0.999412      0.995693      0.003833      0.001040
    1.200000      0.003274      0.076539      0.073264      0.042781      0.007233      0.108433      0.452706      0.705862      0.633413      1.001401      1.004721      0.003646      0.000901
    1.300000      0.002810      0.065633      0.062823      0.042808      0.006205      0.092958      0.452783      0.706045      0.633531      1.000515      0.997202      0.003421      0.000789
    1.400000      0.002410      0.056280      0.053870      0.042823      0.005317      0.079674      0.453308      0.706381      0.633835      1.000655      1.004434      0.003232      0.000678
    1.500000      0.002062      0.048249      0.046187      0.042742      0.004540      0.068293      0.454278      0.706505      0.634153      0.997970      1.004645      0.003015      0.000577
    1.600000      0.001768      0.041379      0.039611      0.042719      0.003882      0.058517      0.455408      0.707133      0.634816      1.000969      0.988890      0.002810      0.000496
    1.700000      0.001515      0.035495      0.033979      0.042696      0.003334      0.050162      0.454512      0.707593      0.635162      0.998188      0.998438      0.002608      0.000429
    1.800000      0.001299      0.030443      0.029144      0.042656      0.002872      0.043009      0.452139      0.707824      0.635213      0.999893      0.986646      0.002402      0.000367
    1.900000      0.001113      0.026106      0.024993      0.042632      0.002457      0.036844      0.452892      0.708558      0.635936      1.004785      1.000884      0.002211      0.000318
    2.000000      0.000954      0.022391      0.021437      0.042622      0.002117      0.031586      0.450882      0.708891      0.636054      1.002820      1.014584      0.002026      0.000281
    2.100000      0.000817      0.019208      0.018391      0.042532      0.001806      0.027078      0.452407      0.709360      0.636727      0.999395      1.004699      0.001860      0.000240
    2.200000      0.000702      0.016477      0.015776      0.042592      0.001545      0.023220      0.454154      0.709624      0.637006      0.999899      1.017106      0.001684      0.000206
    2.300000      0.000602      0.014134      0.013532      0.042602      0.001323      0.019898      0.455169      0.710349      0.637689      0.996543      1.013166      0.001541      0.000177
    2.400000      0.000517      0.012129      0.011612      0.042644      0.001139      0.017063      0.453923      0.710824      0.637913      1.001869      1.016905      0.001413      0.000152
    2.500000      0.000444      0.010407      0.009962      0.042686      0.000974      0.014623      0.456287      0.711636      0.638735      1.000850      0.970500      0.001291      0.000134
    2.600000      0.000381      0.008928      0.008547      0.042639      0.000836      0.012530      0.455467      0.712539      0.639499      1.003082      0.980368      0.001173      0.000115
    2.700000      0.000327      0.007663      0.007336      0.042662      0.000715      0.010746      0.457064      0.713086      0.640063      1.002204      0.997752      0.001074      0.000101
    2.799999      0.000280      0.006577      0.006297      0.042540      0.000614      0.009211      0.455809      0.714015      0.640931      1.000772      1.032973      0.000972      0.000091
    2.899999      0.000241      0.005647      0.005406      0.042655      0.000526      0.007896      0.457754      0.715161      0.641880      1.001386      1.021325      0.000890      0.000079
    2.999999      0.000208      0.004847      0.004640      0.042829      0.000455      0.006767      0.456147      0.716269      0.642389      0.991661      0.989635      0.000803      0.000069
    3.099999      0.000179      0.004162      0.003983      0.042978      0.000396      0.005809      0.451912      0.716467      0.641935      0.996884      0.995474      0.000719      0.000059
    3.199999      0.000153      0.003573      0.003420      0.042826      0.000334      0.004978      0.457476      0.717860      0.643850      1.000772      0.965777      0.000650      0.000048
    3.299999      0.000131      0.003070      0.002939      0.042782      0.000288      0.004280      0.456342      0.717346      0.643389      1.008287      1.042207      0.000588      0.000040
    3.399999      0.000113      0.002638      0.002525      0.042775      0.000249      0.003672      0.452757      0.718535      0.644076      0.997030      0.976380      0.000535      0.000035
    3.499999      0.000096      0.002267      0.002171      0.042286      0.000208      0.003150      0.461411      0.719877      0.646768      0.990788      0.984603      0.000482      0.000030
    3.599999      0.000082      0.001949      0.001867      0.042131      0.000180      0.002705      0.456889      0.720386      0.647053      1.001885      0.949046      0.000444      0.000026
    3.699999      0.000071      0.001675      0.001604      0.042105      0.000150      0.002319      0.470716      0.722201      0.649815      0.991567      0.990726      0.000398      0.000024
    3.799999      0.000060      0.001439      0.001379      0.041872      0.000130      0.001991      0.462331      0.723042      0.650190      0.993616      0.984248      0.000356      0.000019
    3.899998      0.000052      0.001239      0.001188      0.041892      0.000113      0.001714      0.458681      0.723255      0.650018      0.988968      0.959597      0.000322      0.000015
    3.999998      0.000045      0.001064      0.001019      0.041927      0.000098      0.001466      0.456711      0.725603      0.651765      1.003058      1.006707      0.000284      0.000014
  100.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.737277      0.737277      0.000000      0.000000      0.000000      0.000000
 * The above water reflectance is actually an albedo calculation
   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.172062      0.500000      0.327938      0.344123      0.313268      1.082840      0.549247      0.461749      0.234895      0.000000      0.000000      0.000000      0.045667
    0.000000      0.292172      0.620110      0.327938      0.471161      0.622263      1.089843      0.469531      0.568990      0.191541      0.998721      0.998917      0.001757      0.082400
    0.100000      0.173492      0.366003      0.192511      0.474018      0.371876      0.669821      0.466531      0.546419      0.184805      0.999020      0.998677      0.059907      0.048653
    0.200000      0.100865      0.213314      0.112448      0.472850      0.215919      0.387547      0.467144      0.550420      0.186337      0.998945      0.998827      0.056944      0.028431
    0.300000      0.058834      0.124800      0.065966      0.471423      0.125772      0.224659      0.467777      0.555509      0.188243      0.998939      0.998897      0.041335      0.016734
