   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup
    1.800000      0.000022      0.000047      0.000025      0.468467      0.000047      0.000084      0.470273      0.564501      0.192053      0.982714      0.988296
    1.900000      0.000013      0.000028      0.000015      0.454283      0.000026      0.000049      0.484627      0.559211      0.200218      0.950210      1.000358
    2.000000      0.000008      0.000017      0.000009      0.468147      0.000016      0.000031      0.498823      0.552599      0.193532      0.993270      0.998366
    2.100000      0.000005      0.000011      0.000005      0.513258      0.000011      0.000018      0.487510      0.578417      0.174982      1.023358      0.954293
    2.200000      0.000003      0.000006      0.000003      0.486134      0.000006      0.000011      0.476961      0.540961      0.179185      0.984131      0.994846
    2.300000      0.000002      0.000004      0.000002      0.508906      0.000005      0.000007      0.380203      0.558625      0.156968      1.003646      0.964267
    2.400000      0.000001      0.000002      0.000001      0.510549      0.000003      0.000004      0.439225      0.540670      0.162503      0.968595      1.011243
    2.500000      0.000001      0.000001      0.000001      0.472868      0.000001      0.000003      0.501836      0.502459      0.179756      0.984250      1.006714
    2.600000      0.000000      0.000001      0.000000      0.447059      0.000001      0.000001      0.488065      0.571460      0.207414      0.854460      0.823944
    2.700000      0.000000      0.000000      0.000000      0.431818      0.000000      0.000001      0.460079      0.678344      0.235491      0.757840      1.096639
    2.799999      0.000000      0.000000      0.000000      0.468750      0.000000      0.000001      0.396231      0.578349      0.182430      0.875000      1.050000
    2.899999      0.000000      0.000000      0.000000      0.608696      0.000000      0.000000      0.413868      0.552091      0.119226      1.003584      0.829630
    2.999999      0.000000      0.000000      0.000000      0.625000      0.000000      0.000000      0.538282      0.663638      0.140557      1.042146      0.806034
    3.099999      0.000000      0.000000      0.000000      0.454545      0.000000      0.000000      0.496349      0.736416      0.239897      1.600000      0.888889
    3.199999      0.000000      0.000000      0.000000      0.166667      0.000000      0.000000      0.675590      0.819865      0.568281      0.562500      1.350000
    3.299999      0.000000      0.000000      0.000000      0.375000      0.000000      0.000000      0.599735      0.472197      0.227850      1.041667      1.250000
    3.399999      0.000000      0.000000      0.000000      0.285714      0.000000      0.000000      0.294729      0.575676      0.263914      0.772727      1.545454
    3.499999      0.000000      0.000000      0.000000      0.200000      0.000000      0.000000      0.843391      0.826442      0.552813      0.437500      0.583333
    3.599999      0.000000      0.000000      0.000000      0.200000      0.000000      0.000000      0.608761      0.700955      0.455798           NaN           NaN
    3.699999      0.000000      0.000000      0.000000      0.200000      0.000000      0.000000      0.608761      0.804966      0.509287      1.000000           NaN
    3.799999      0.000000      0.000000      0.000000      0.250000      0.000000      0.000000      0.300706      0.805243      0.361753      2.500000      0.833333
    3.899998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.781237      0.781237           NaN           NaN
    3.999998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.099998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.199998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.299998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.399998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.499998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.599998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.699998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.799998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.899998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    4.999998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.099998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.199997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.299997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.399997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.499997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.599997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.699997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.799997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.899997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    5.999997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.099997      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.199996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.299996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.399996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.499996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.599996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.699996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.799996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.899996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    6.999996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.099996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.199996      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.299995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.399995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.499995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.599995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.699995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.799995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.899995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
    7.999995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
  100.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000           NaN      0.737277      0.737277           NaN           NaN
 * The above water reflectance is actually an albedo calculation
