   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.04003751    0.49999994    0.45996243    0.08007503    0.07575808    0.95694041    0.52849162    0.52249849    0.44539857    0.00000000    0.00000000    0.00000000    0.00312792
  0.00000000    0.02008138    0.48004380    0.45996243    0.04183239    0.04407350    0.65010029    0.45563394    0.73841500    0.66260409    0.99915916    1.00034404    0.00011958    0.00572670
  0.10000000    0.01729055    0.41273317    0.39544261    0.04189280    0.03797302    0.56238818    0.45533770    0.73389375    0.65867448    0.99927402    1.00224864    0.00152150    0.00492117
  0.20000000    0.01487090    0.35462558    0.33975467    0.04193409    0.03268328    0.48508149    0.45500022    0.73106390    0.65619498    0.99927449    1.00144386    0.00255025    0.00423116
  0.30000001    0.01278366    0.30454716    0.29176348    0.04197597    0.02811685    0.41774270    0.45466191    0.72903049    0.65438432    0.99933565    1.00184941    0.00328948    0.00363307
  0.40000001    0.01098326    0.26145250    0.25046924    0.04200863    0.02416110    0.35936436    0.45458451    0.72754151    0.65307069    0.99934471    1.00241792    0.00380103    0.00311298
  0.50000000    0.00942993    0.22439989    0.21496996    0.04202288    0.02074909    0.30891147    0.45447442    0.72642136    0.65209484    0.99970084    1.00231755    0.00412776    0.00267048
  0.60000002    0.00809310    0.19255841    0.18446530    0.04202934    0.01780324    0.26538882    0.45458594    0.72557092    0.65137875    0.99898064    1.00206769    0.00430468    0.00229102
  0.70000005    0.00695056    0.16520934    0.15825878    0.04207122    0.01529436    0.22790152    0.45445228    0.72491550    0.65074617    0.99986088    1.00105822    0.00436383    0.00197252
  0.80000007    0.00596300    0.14173220    0.13576920    0.04207228    0.01312286    0.19565564    0.45439771    0.72439617    0.65030259    0.99958140    1.00179720    0.00433079    0.00169917
  0.90000010    0.00511408    0.12157620    0.11646212    0.04206479    0.01125592    0.16792198    0.45434567    0.72400409    0.64998037    0.99948591    1.00138533    0.00423300    0.00145651
  1.00000012    0.00438511    0.10427664    0.09989154    0.04205262    0.00964925    0.14406577    0.45445070    0.72381276    0.64984894    0.99894065    1.00192153    0.00409487    0.00124698
  1.10000014    0.00376217    0.08944087    0.08567870    0.04206321    0.00828227    0.12359662    0.45424390    0.72365141    0.64967716    0.99942189    1.00493109    0.00392073    0.00106951
  1.20000017    0.00322667    0.07671089    0.07348421    0.04206280    0.00710409    0.10601564    0.45419940    0.72358084    0.64961439    0.99884486    1.00190520    0.00372115    0.00091624
  1.30000019    0.00276464    0.06578971    0.06302507    0.04202241    0.00608519    0.09093045    0.45432281    0.72351682    0.64963824    0.99846065    1.00054932    0.00350972    0.00078573
  1.40000021    0.00237396    0.05642604    0.05405208    0.04207211    0.00522984    0.07797990    0.45392668    0.72359723    0.64958835    1.00006831    1.00489402    0.00328604    0.00067816
  1.50000024    0.00203590    0.04839279    0.04635689    0.04207023    0.00448312    0.06686457    0.45412430    0.72374332    0.64973211    0.99928266    1.00318670    0.00306566    0.00058548
