   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    3.999998      0.000006      0.002256      0.002250      0.002571      0.000015      0.002970      0.380299      0.759552      0.753729      1.726409      0.000000      0.000246      0.000000
    4.099998      0.000005      0.001985      0.001980      0.002317      0.000014      0.002625      0.318436      0.756124      0.750244      1.502500      0.000000      0.000232      0.000000
    4.199998      0.000003      0.001742      0.001738      0.002010      0.000011      0.002287      0.314714      0.761598      0.756388      1.290441      0.000000      0.000178      0.000000
    4.299998      0.000003      0.001523      0.001520      0.001904      0.000011      0.002000      0.269404      0.761545      0.756026      1.341598     13.527778      0.000171      0.000000
    4.399998      0.000002      0.001334      0.001331      0.001799      0.000005      0.001755      0.447691      0.760004      0.756326      1.846154      0.000000      0.000171      0.000000
    4.499998      0.000002      0.001176      0.001174      0.001361      0.000003      0.001542      0.458401      0.762421      0.759664      2.673816      0.000000      0.000178      0.000000
    4.599998      0.000001      0.001035      0.001033      0.001449      0.000005      0.001359      0.307148      0.761347      0.757522      7.043344      0.000000      0.000130      0.000000
    4.699998      0.000001      0.000906      0.000905      0.001324      0.000003      0.001189      0.348826      0.762082      0.758878      5.063291      0.000000      0.000130      0.000000
    4.799998      0.000001      0.000793      0.000792      0.001639      0.000006      0.001033      0.209941      0.768007      0.762177      1.500000      0.000000      0.000116      0.000000
    4.899998      0.000001      0.000698      0.000697      0.002005      0.000003      0.000910      0.414837      0.767177      0.762812      0.666667      0.000000      0.000096      0.000000
    4.999998      0.000002      0.000615      0.000613      0.002603      0.000005      0.000799      0.330835      0.768909      0.762295      1.263227      0.000000      0.000068      0.000000
    5.099998      0.000001      0.000540      0.000538      0.002409      0.000004      0.000707      0.370474      0.763798      0.758193      1.166667      0.000000      0.000061      0.000000
    5.199997      0.000001      0.000476      0.000475      0.001681      0.000002      0.000618      0.398052      0.769938      0.766153           NaN           NaN      0.000061      0.000000
    5.299997      0.000001      0.000423      0.000423      0.001889      0.000002      0.000548      0.398052      0.772784      0.768506      0.500000      0.000000      0.000048      0.000000
    5.399997      0.000001      0.000374      0.000373      0.002407      0.000002      0.000488      0.398326      0.766684      0.761312      2.016393      0.000000      0.000048      0.000000
    5.499997      0.000001      0.000328      0.000328      0.002132      0.000002      0.000424      0.333051      0.773429      0.767977      2.000000      0.000000      0.000048      0.000000
    5.599997      0.000001      0.000285      0.000285      0.002103      0.000002      0.000368      0.357491      0.774723      0.769586      2.000000      0.000000      0.000041      0.000000
    5.699997      0.000000      0.000249      0.000248      0.001206      0.000001      0.000320      0.419252      0.776861      0.774194      0.500000      0.000000      0.000034      0.000000
    5.799997      0.000000      0.000220      0.000219      0.001821      0.000001      0.000286      0.430027      0.768897      0.765005      2.027778      0.000000      0.000034      0.000000
    5.899997      0.000000      0.000193      0.000193      0.001035      0.000000      0.000249      0.470868      0.774742      0.772624      Infinity      0.000000      0.000041      0.000000
    5.999997      0.000000      0.000169      0.000169      0.001770      0.000001      0.000218      0.396379      0.775867      0.771820      1.000000      0.000000      0.000027      0.000000
    6.099997      0.000000      0.000147      0.000147      0.001360      0.000001      0.000190      0.348116      0.776068      0.772671      1.000000      0.000000      0.000027      0.000000
    6.199996      0.000000      0.000129      0.000128      0.001555      0.000001      0.000165      0.348116      0.778333      0.774429           NaN      0.000000      0.000014      0.000000
    6.299996      0.000000      0.000114      0.000114      0.003500      0.000001      0.000147      0.433801      0.778698      0.771129      2.054054      0.000000      0.000020      0.000000
    6.399996      0.000000      0.000100      0.000099      0.003006      0.000001      0.000128      0.371582      0.781167      0.773928      Infinity           NaN      0.000020      0.000000
    6.499996      0.000000      0.000087      0.000087      0.003436      0.000001      0.000111      0.371582      0.783909      0.775592      1.000000      0.000000      0.000020      0.000000
    6.599996      0.000000      0.000077      0.000077      0.002601      0.000000      0.000098      0.519484      0.785557      0.780444           NaN      0.000000      0.000020      0.000000
    6.699996      0.000000      0.000068      0.000068      0.002920      0.000000      0.000087      0.519484      0.787488      0.781729      Infinity           NaN      0.000020      0.000000
    6.799996      0.000000      0.000060      0.000059      0.003356      0.000000      0.000076      0.429483      0.787962      0.780512      Infinity      0.000000      0.000020      0.000000
    6.899996      0.000000      0.000053      0.000053      0.001887      0.000000      0.000067      0.429483      0.790925      0.786699      Infinity      0.000000      0.000020      0.000000
    6.999996      0.000000      0.000047      0.000047      0.000000      0.000000      0.000059      0.000000      0.793195      0.793195      Infinity      0.000000      0.000020      0.000000
    7.099996      0.000000      0.000041      0.000041      0.002427      0.000000      0.000053      0.753713      0.782094      0.778236           NaN      0.000000      0.000014      0.000000
    7.199996      0.000000      0.000036      0.000036      0.002762      0.000000      0.000046      0.753713      0.790012      0.785555           NaN      0.000000      0.000007      0.000000
    7.299995      0.000000      0.000032      0.000032      0.003155      0.000000      0.000040      0.753713      0.791682      0.786578           NaN      0.000000      0.000007      0.000000
    7.399995      0.000000      0.000028      0.000028      0.003546      0.000000      0.000036      0.753713      0.791999      0.786261           NaN      0.000000      0.000007      0.000000
    7.499995      0.000000      0.000024      0.000024      0.004082      0.000000      0.000031      0.753713      0.789554      0.782983      1.000000      0.000000      0.000007      0.000000
    7.599995      0.000000      0.000021      0.000021      0.000000      0.000000      0.000027      0.000000      0.800018      0.800018           NaN      0.000000      0.000007      0.000000
    7.699995      0.000000      0.000019      0.000019      0.000000      0.000000      0.000024      0.000000      0.803114      0.803114           NaN      0.000000      0.000007      0.000000
