   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  3.09999919    0.00001560    0.00747143    0.00745582    0.00208862    0.00004442    0.00990984    0.35133249    0.75394070    0.74900889    1.60772145    7.82480717    0.00059329    0.00000278
  3.19999909    0.00001377    0.00653960    0.00652583    0.00210563    0.00003911    0.00866828    0.35206145    0.75442922    0.74945897    1.55164576    7.35563517    0.00054701    0.00000259
  3.29999900    0.00001227    0.00572707    0.00571480    0.00214245    0.00003491    0.00758455    0.35150662    0.75509745    0.75002778    1.52803707    6.87205076    0.00050481    0.00000213
  3.39999890    0.00001063    0.00501242    0.00500178    0.00212173    0.00003053    0.00663050    0.34837353    0.75596368    0.75090253    1.56809545    5.53532887    0.00046396    0.00000175
  3.49999881    0.00000941    0.00438858    0.00437917    0.00214534    0.00002666    0.00580041    0.35315031    0.75659961    0.75152218    1.65359414    5.98320055    0.00042653    0.00000181
  3.59999871    0.00000805    0.00384507    0.00383702    0.00209489    0.00002201    0.00507863    0.36594042    0.75710887    0.75226235    1.52225554    8.51742458    0.00039266    0.00000168
  3.69999862    0.00000698    0.00337005    0.00336307    0.00207267    0.00001938    0.00444613    0.36049613    0.75797546    0.75312233    1.49247408    5.01852179    0.00035802    0.00000142
  3.79999852    0.00000606    0.00295159    0.00294553    0.00205313    0.00001691    0.00389000    0.35828978    0.75876421    0.75392830    1.40739524    5.17865181    0.00032654    0.00000142
  3.89999843    0.00000519    0.00258671    0.00258151    0.00200834    0.00001442    0.00340475    0.36029786    0.75973558    0.75501239    1.51589382    4.15986395    0.00029926    0.00000116
  3.99999833    0.00000445    0.00226597    0.00226152    0.00196604    0.00001286    0.00298016    0.34629130    0.76035255    0.75559586    1.70802438    8.63500023    0.00027218    0.00000078
  4.09999847    0.00000397    0.00198622    0.00198225    0.00200128    0.00001179    0.00260893    0.33707142    0.76131803    0.75637555    1.67279267    8.50074577    0.00025027    0.00000065
  4.19999838    0.00000350    0.00174048    0.00173697    0.00201381    0.00000936    0.00228417    0.37451258    0.76197487    0.75733733    1.51332319    7.12163973    0.00022778    0.00000065
  4.29999828    0.00000312    0.00152640    0.00152327    0.00204730    0.00000900    0.00200171    0.34703228    0.76254970    0.75758046    1.66409099    3.69889927    0.00021000    0.00000052
  4.39999819    0.00000265    0.00133691    0.00133426    0.00198218    0.00000746    0.00175061    0.35533166    0.76368421    0.75893730    1.61086047   11.74875736    0.00019177    0.00000039
  4.49999809    0.00000221    0.00117239    0.00117018    0.00188504    0.00000583    0.00153329    0.37933332    0.76462418    0.76029396    1.51538455    8.37230682    0.00017432    0.00000019
  4.59999800    0.00000193    0.00102850    0.00102657    0.00187651    0.00000544    0.00134460    0.35510260    0.76491529    0.76040620    1.59363973    1.88031352    0.00015791    0.00000019
  4.69999790    0.00000171    0.00090253    0.00090081    0.00190021    0.00000518    0.00117738    0.33124799    0.76656032    0.76175404    1.68531787    6.54936123    0.00014588    0.00000013
  4.79999781    0.00000156    0.00079151    0.00078995    0.00197092    0.00000422    0.00103129    0.37000531    0.76749682    0.76286530    1.58000386    6.80830479    0.00013360    0.00000000
  4.89999771    0.00000137    0.00069466    0.00069329    0.00197217    0.00000397    0.00090395    0.34502098    0.76847851    0.76360869    1.72348976    0.00000000    0.00012261    0.00000000
  4.99999762    0.00000128    0.00060953    0.00060824    0.00210818    0.00000399    0.00079172    0.32239705    0.76988256    0.76441127    1.75233269    9.20588207    0.00011137    0.00000013
  5.09999752    0.00000101    0.00053466    0.00053365    0.00188905    0.00000272    0.00069396    0.37179685    0.77045280    0.76599872    1.53315008    4.28888893    0.00010025    0.00000013
  5.19999743    0.00000090    0.00046943    0.00046852    0.00192787    0.00000255    0.00060878    0.35549140    0.77110571    0.76641411    1.37881911    0.00000000    0.00009062    0.00000013
  5.29999733    0.00000078    0.00041115    0.00041037    0.00189709    0.00000206    0.00053322    0.37779877    0.77107680    0.76664561    1.25150776    0.00000000    0.00008015    0.00000013
  5.39999723    0.00000065    0.00036176    0.00036111    0.00179675    0.00000179    0.00046866    0.36384717    0.77190590    0.76759309    1.63472855    9.33626366    0.00007226    0.00000013
  5.49999714    0.00000056    0.00031836    0.00031780    0.00177469    0.00000183    0.00041198    0.30950323    0.77276057    0.76798624    2.14402485    9.89393997    0.00006567    0.00000006
  5.59999704    0.00000047    0.00027970    0.00027922    0.00169825    0.00000149    0.00036105    0.31834981    0.77468991    0.77019137    1.62097275    0.00000000    0.00006031    0.00000013
  5.69999695    0.00000042    0.00024584    0.00024542    0.00170843    0.00000096    0.00031709    0.43625000    0.77529413    0.77162677    1.58117068   25.45299149    0.00005539    0.00000013
  5.79999685    0.00000039    0.00021620    0.00021580    0.00182701    0.00000105    0.00027867    0.37517670    0.77581578    0.77148372    1.69045758    0.00000000    0.00004971    0.00000013
  5.89999676    0.00000039    0.00018996    0.00018957    0.00205301    0.00000105    0.00024423    0.37267604    0.77782053    0.77291179    1.41666663    0.00000000    0.00004460    0.00000006
