   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.030834      0.500000      0.469166      0.061668      0.057408      1.082840      0.537099      0.461749      0.411460      0.000000      0.000000      0.000000      0.000111
    0.000000      0.000951      0.470117      0.469166      0.002022      0.002727      0.639128      0.348574      0.735560      0.730953      1.400005      5.914497      0.000005      0.000175
    0.100000      0.000838      0.411822      0.410984      0.002034      0.002407      0.560840      0.348071      0.734295      0.729670      1.404965      5.937704      0.000629      0.000152
    0.200000      0.000735      0.360639      0.359904      0.002037      0.002118      0.491623      0.346806      0.733568      0.728932      1.410871      6.256944      0.001132      0.000137
    0.300000      0.000644      0.315762      0.315118      0.002041      0.001860      0.430737      0.346429      0.733074      0.728432      1.413081      6.043337      0.001512      0.000122
    0.400000      0.000565      0.276437      0.275871      0.002045      0.001630      0.377236      0.346884      0.732795      0.728150      1.416158      5.937448      0.001784      0.000108
    0.500000      0.000498      0.241951      0.241453      0.002058      0.001448      0.330231      0.343909      0.732673      0.727974      1.432128      6.194317      0.001985      0.000093
    0.600000      0.000437      0.211743      0.211306      0.002066      0.001266      0.289026      0.345420      0.732608      0.727906      1.434850      5.719776      0.002122      0.000082
    0.700000      0.000382      0.185281      0.184898      0.002064      0.001108      0.252878      0.345095      0.732686      0.727983      1.429116      6.205385      0.002209      0.000071
    0.800000      0.000334      0.162112      0.161778      0.002062      0.000969      0.221213      0.345020      0.732834      0.728133      1.439766      6.054205      0.002239      0.000065
    0.900000      0.000293      0.141839      0.141545      0.002067      0.000850      0.193501      0.344815      0.733013      0.728297      1.448022      5.923442      0.002234      0.000059
    1.000000      0.000257      0.124097      0.123839      0.002074      0.000749      0.169246      0.343387      0.733235      0.728490      1.428839      6.095540      0.002196      0.000053
    1.100000      0.000224      0.108566      0.108342      0.002062      0.000648      0.148011      0.345649      0.733502      0.728800      1.433700      6.203818      0.002135      0.000044
    1.200000      0.000195      0.094976      0.094781      0.002055      0.000569      0.129428      0.343219      0.733816      0.729106      1.446800      5.790509      0.002067      0.000037
    1.300000      0.000172      0.083082      0.082910      0.002067      0.000500      0.113160      0.343492      0.734199      0.729459      1.439906      5.852401      0.001979      0.000032
    1.400000      0.000151      0.072680      0.072529      0.002081      0.000445      0.098941      0.339710      0.734581      0.729768      1.437554      5.890752      0.001898      0.000027
    1.500000      0.000132      0.063578      0.063446      0.002080      0.000391      0.086494      0.338613      0.735063      0.730237      1.479761      6.455373      0.001813      0.000024
