   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    0.000000      0.030863      0.500000      0.469137      0.061726      0.057457      1.082840      0.537150      0.461749      0.411417      0.000000      0.000000      0.000000      0.000117
    0.000000      0.000956      0.470093      0.469137      0.002034      0.002737      0.639100      0.349330      0.735555      0.730930      1.405312      5.961251      0.000002      0.000184
    0.100000      0.000842      0.411805      0.410963      0.002044      0.002406      0.560809      0.349881      0.734305      0.729673      1.401983      5.556168      0.000634      0.000165
    0.200000      0.000743      0.360636      0.359893      0.002060      0.002121      0.491638      0.350401      0.733539      0.728884      1.424668      6.042011      0.001134      0.000148
    0.300000      0.000653      0.315749      0.315096      0.002067      0.001861      0.430705      0.350667      0.733097      0.728434      1.405161      6.059531      0.001496      0.000127
    0.400000      0.000573      0.276392      0.275819      0.002074      0.001641      0.377140      0.349393      0.732864      0.728176      1.433025      6.172884      0.001791      0.000117
    0.500000      0.000505      0.241908      0.241402      0.002089      0.001450      0.330160      0.348503      0.732698      0.727969      1.418510      6.137239      0.001986      0.000102
    0.600000      0.000445      0.211732      0.211287      0.002103      0.001274      0.288993      0.349396      0.732653      0.727902      1.429911      5.763165      0.002128      0.000095
    0.700000      0.000394      0.185281      0.184886      0.002129      0.001125      0.252877      0.350733      0.732690      0.727893      1.425622      6.188313      0.002217      0.000080
    0.800000      0.000349      0.162120      0.161771      0.002152      0.000989      0.221219      0.352691      0.732847      0.728014      1.420088      5.576280      0.002253      0.000072
    0.900000      0.000309      0.141821      0.141512      0.002178      0.000870      0.193471      0.354934      0.733033      0.728162      1.450378      6.378792      0.002242      0.000067
    1.000000      0.000275      0.124072      0.123797      0.002219      0.000759      0.169209      0.362746      0.733248      0.728353      1.428674      6.230119      0.002222      0.000065
    1.100000      0.000246      0.108550      0.108304      0.002263      0.000671      0.147983      0.365943      0.733529      0.728563      1.434999      6.793017      0.002187      0.000059
    1.200000      0.000220      0.094954      0.094735      0.002314      0.000595      0.129380      0.369129      0.733920      0.728868      1.430256      5.887639      0.002108      0.000057
    1.300000      0.000199      0.083056      0.082857      0.002398      0.000529      0.113122      0.376787      0.734210      0.729043      1.439568      6.161841      0.002021      0.000050
    1.400000      0.000183      0.072659      0.072476      0.002515      0.000483      0.098901      0.378503      0.734662      0.729255      1.442525      5.608525      0.001934      0.000048
    1.500000      0.000168      0.063564      0.063396      0.002644      0.000430      0.086472      0.391118      0.735080      0.729511      1.435711      5.485162      0.001853      0.000047
    1.600000      0.000156      0.055604      0.055448      0.002797      0.000381      0.075602      0.408488      0.735484      0.729751      1.447253      4.679002      0.001751      0.000048
