   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  3.09999919    0.00001593    0.00746769    0.00745175    0.00213359    0.00004242    0.00904672    0.37556142    0.82545769    0.81985182    1.57203364    5.97627974    0.00082066    0.00000278
  3.19999909    0.00001396    0.00653940    0.00652544    0.00213521    0.00003753    0.00791582    0.37201220    0.82611787    0.82046360    1.58402944    7.53144598    0.00075001    0.00000238
  3.29999900    0.00001235    0.00572504    0.00571269    0.00215702    0.00003368    0.00692493    0.36671010    0.82672870    0.82095325    1.55754375    6.52473974    0.00068519    0.00000208
  3.39999890    0.00001072    0.00501234    0.00500162    0.00213872    0.00002893    0.00605707    0.37060007    0.82751775    0.82182324    1.53459311    6.42376423    0.00062530    0.00000187
  3.49999881    0.00000937    0.00438809    0.00437873    0.00213464    0.00002499    0.00529779    0.37475598    0.82828730    0.82263809    1.57815194    6.60216379    0.00056980    0.00000167
  3.59999871    0.00000817    0.00384308    0.00383491    0.00212720    0.00002204    0.00463557    0.37099364    0.82904327    0.82336581    1.58279228    8.24546909    0.00051896    0.00000149
  3.69999862    0.00000723    0.00336602    0.00335879    0.00214883    0.00001987    0.00405587    0.36409095    0.82991332    0.82409352    1.62745059    8.88110638    0.00047301    0.00000131
  3.79999852    0.00000625    0.00294919    0.00294294    0.00211821    0.00001689    0.00355109    0.36977196    0.83050084    0.82481760    1.59091294    7.10195017    0.00043017    0.00000114
  3.89999843    0.00000546    0.00258410    0.00257863    0.00211486    0.00001423    0.00310876    0.38406554    0.83123070    0.82569343    1.55529189    6.60512257    0.00039102    0.00000098
  3.99999833    0.00000486    0.00226466    0.00225981    0.00214513    0.00001290    0.00272207    0.37663397    0.83196473    0.82626486    1.56825387    6.06453419    0.00035532    0.00000082
  4.09999847    0.00000426    0.00198440    0.00198013    0.00214826    0.00001160    0.00238304    0.36761242    0.83271730    0.82690454    1.56236374    6.74811220    0.00032250    0.00000073
  4.19999838    0.00000373    0.00173899    0.00173526    0.00214492    0.00000999    0.00208628    0.37332359    0.83353621    0.82778412    1.55271995    6.66249275    0.00029242    0.00000063
  4.29999828    0.00000320    0.00152432    0.00152112    0.00209733    0.00000857    0.00182670    0.37317657    0.83446914    0.82883185    1.60994279    7.03443527    0.00026551    0.00000056
  4.39999819    0.00000277    0.00133634    0.00133356    0.00207358    0.00000733    0.00159995    0.37790784    0.83523822    0.82970381    1.66722214    9.05940533    0.00024073    0.00000050
  4.49999809    0.00000251    0.00117192    0.00116941    0.00213838    0.00000684    0.00140139    0.36630055    0.83625174    0.83040965    1.62825453    6.86526012    0.00021838    0.00000043
  4.59999800    0.00000222    0.00102807    0.00102585    0.00216424    0.00000575    0.00122836    0.38673526    0.83694589    0.83124119    1.56356192    5.03452635    0.00019797    0.00000039
  4.69999790    0.00000193    0.00090182    0.00089989    0.00214122    0.00000511    0.00107604    0.37811431    0.83809376    0.83234888    1.53053629    5.34256744    0.00017914    0.00000034
  4.79999781    0.00000169    0.00079062    0.00078893    0.00213882    0.00000433    0.00094228    0.39021415    0.83904779    0.83342040    1.52463520    7.01882648    0.00016190    0.00000030
  4.89999771    0.00000147    0.00069344    0.00069197    0.00212707    0.00000368    0.00082529    0.40067485    0.84023523    0.83472466    1.44429672    6.82825708    0.00014661    0.00000027
  4.99999762    0.00000129    0.00060843    0.00060714    0.00211693    0.00000333    0.00072334    0.38653478    0.84113216    0.83550268    1.53964126    5.94224977    0.00013229    0.00000022
  5.09999752    0.00000113    0.00053389    0.00053276    0.00211466    0.00000307    0.00063388    0.36834121    0.84225899    0.83643335    1.60904336    8.67133999    0.00011999    0.00000019
  5.19999743    0.00000101    0.00046888    0.00046787    0.00216046    0.00000260    0.00055647    0.38958910    0.84260690    0.83687603    1.59606683    2.63722205    0.00010812    0.00000019
  5.29999733    0.00000084    0.00041192    0.00041108    0.00203680    0.00000220    0.00048822    0.38108346    0.84371907    0.83822060    1.41306388    8.11675549    0.00009770    0.00000017
  5.39999723    0.00000076    0.00036190    0.00036114    0.00208898    0.00000195    0.00042809    0.38787302    0.84537190    0.83978248    1.51253188    7.16117430    0.00008822    0.00000014
  5.49999714    0.00000065    0.00031755    0.00031691    0.00203744    0.00000171    0.00037517    0.37830311    0.84642285    0.84086514    1.54201174    5.22204399    0.00007963    0.00000012
  5.59999704    0.00000059    0.00027899    0.00027840    0.00211118    0.00000163    0.00032953    0.36050886    0.84662342    0.84066808    1.46872008    9.19458866    0.00007194    0.00000011
  5.69999695    0.00000052    0.00024516    0.00024464    0.00212920    0.00000139    0.00028919    0.37532139    0.84777129    0.84191704    1.65883601   12.25326824    0.00006494    0.00000009
  5.79999685    0.00000044    0.00021528    0.00021484    0.00205775    0.00000114    0.00025358    0.38914922    0.84898347    0.84345001    1.44020081    0.00000000    0.00005844    0.00000007
  5.89999676    0.00000039    0.00018891    0.00018852    0.00204331    0.00000105    0.00022215    0.36708069    0.85037386    0.84463817    1.49867928    4.00700283    0.00005251    0.00000008
  5.99999666    0.00000031    0.00016609    0.00016577    0.00189059    0.00000084    0.00019518    0.37429518    0.85093963    0.84569597    1.55105543    6.39746809    0.00004743    0.00000006
  6.09999657    0.00000029    0.00014611    0.00014582    0.00198475    0.00000079    0.00017145    0.36684346    0.85220319    0.84660822    1.26070607    0.00000000    0.00004280    0.00000005
  6.19999647    0.00000025    0.00012847    0.00012822    0.00192264    0.00000069    0.00015041    0.35901278    0.85410565    0.84858197    1.57515430    4.94155836    0.00003847    0.00000004
  6.29999638    0.00000020    0.00011293    0.00011273    0.00176212    0.00000047    0.00013206    0.42629993    0.85515785    0.85064411    1.28670955   16.33333397    0.00003472    0.00000004
  6.39999628    0.00000019    0.00009937    0.00009918    0.00194224    0.00000045    0.00011605    0.43069571    0.85623300    0.85128301    1.42850387    8.18156052    0.00003133    0.00000004
  6.49999619    0.00000017    0.00008730    0.00008713    0.00198156    0.00000039    0.00010186    0.44518611    0.85709673    0.85214740    1.52999496    7.59090900    0.00002818    0.00000004
  6.59999609    0.00000014    0.00007685    0.00007671    0.00183465    0.00000034    0.00008965    0.41241342    0.85726053    0.85243690    1.31296539    0.00000000    0.00002543    0.00000003
  6.69999599    0.00000013    0.00006769    0.00006756    0.00193524    0.00000031    0.00007883    0.42624164    0.85873336    0.85374290    1.68062818    6.14369488    0.00002294    0.00000003
  6.79999590    0.00000012    0.00005964    0.00005952    0.00194500    0.00000028    0.00006934    0.42005348    0.86016715    0.85508841    1.40220904    0.00000000    0.00002068    0.00000002
  6.89999580    0.00000011    0.00005259    0.00005249    0.00203445    0.00000030    0.00006098    0.35770580    0.86254358    0.85658658    1.52422726   14.83333397    0.00001859    0.00000002
  6.99999571    0.00000009    0.00004627    0.00004618    0.00198820    0.00000023    0.00005362    0.39271882    0.86299515    0.85753274    1.52946579    9.19727898    0.00001674    0.00000001
  7.09999561    0.00000008    0.00004068    0.00004060    0.00208922    0.00000020    0.00004712    0.42690960    0.86349404    0.85806400    1.29503334    0.00000000    0.00001500    0.00000001
  7.19999552    0.00000007    0.00003577    0.00003570    0.00187308    0.00000017    0.00004138    0.40414310    0.86442930    0.85936719    1.37916243    0.00000000    0.00001352    0.00000001
  7.29999542    0.00000006    0.00003153    0.00003147    0.00177603    0.00000015    0.00003635    0.36911809    0.86730909    0.86217076    2.11765385    0.00000000    0.00001219    0.00000001
  7.39999533    0.00000005    0.00002787    0.00002781    0.00197352    0.00000015    0.00003210    0.37623790    0.86832821    0.86268526    1.37094438   21.28571510    0.00001102    0.00000000
  7.49999523    0.00000006    0.00002454    0.00002448    0.00228190    0.00000017    0.00002827    0.33210412    0.86817884    0.86106133    1.84099352    0.00000000    0.00000994    0.00000000
  7.59999514    0.00000004    0.00002155    0.00002151    0.00208807    0.00000013    0.00002483    0.35686108    0.86797422    0.86178511    1.44669437    0.00000000    0.00000893    0.00000000
  7.69999504    0.00000004    0.00001897    0.00001893    0.00195045    0.00000011    0.00002185    0.32647815    0.86833066    0.86216450    1.89616776    0.00000000    0.00000803    0.00000000
  7.79999495    0.00000003    0.00001672    0.00001668    0.00197404    0.00000008    0.00001919    0.42690945    0.87101960    0.86581302    1.62836444    0.00000000    0.00000720    0.00000000
  7.89999485    0.00000002    0.00001481    0.00001478    0.00162096    0.00000005    0.00001697    0.51176274    0.87235123    0.86853731    1.67042887   37.00000000    0.00000646    0.00000000
  7.99999475    0.00000002    0.00001305    0.00001303    0.00160907    0.00000004    0.00001491    0.58751947    0.87552506    0.87202525    1.16724825    5.92076206    0.00000579    0.00000000
100.00000000    0.00000000    0.00000003    0.00000003    0.00000000    0.00000000    0.00000003    0.00000000    0.82949311    0.82949311    0.00000000    0.00000000    0.00000000    0.00000000
 * The above water reflectance is actually an albedo calculation
   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.00000000    0.04797269    0.49999994    0.45202726    0.09594540    0.08027500    1.00462949    0.59760439    0.49769586    0.41665170    0.00000000    0.00000000    0.00000000    0.00467948
  0.00000000    0.04378411    0.49581137    0.45202726    0.08830799    0.09744014    0.64405209    0.44934365    0.76983118    0.60961837    2.29539800    5.58169746    0.00019369    0.00886841
  0.10000000    0.03879585    0.41359895    0.37480310    0.09380066    0.09024744    0.57245606    0.42988315    0.72249901    0.56556678    2.55303025    5.80878925    0.03338100    0.00750109
  0.20000000    0.03286078    0.34024960    0.30738881    0.09657845    0.07808090    0.48622310    0.42085552    0.69978082    0.54472202    2.68632030    5.92635584    0.04984405    0.00621185
  0.30000001    0.02717838    0.27788964    0.25071126    0.09780278    0.06527532    0.40329513    0.41636533    0.68904781    0.53505564    2.75374389    5.97746468    0.05613115    0.00508394
  0.40000001    0.02218812    0.22618484    0.20399672    0.09809730    0.05357658    0.33017948    0.41413844    0.68503606    0.53157914    2.78267360    6.00283051    0.05637974    0.00413726
  0.50000000    0.01799628    0.18389799    0.16590171    0.09786014    0.04353148    0.26853555    0.41340840    0.68481803    0.53162199    2.79420185    6.02164984    0.05326888    0.00335615
  0.60000002    0.01456242    0.14955379    0.13499138    0.09737244    0.03521664    0.21777634    0.41350955    0.68673110    0.53357756    2.78928566    6.02091265    0.04847354    0.00272441
  0.70000005    0.01178472    0.12174231    0.10995758    0.09680057    0.02847811    0.17651661    0.41381696    0.68969321    0.53639227    2.77890444    6.01094341    0.04300926    0.00221049
  0.80000007    0.00954176    0.09923203    0.08969026    0.09615611    0.02303984    0.14317855    0.41414198    0.69306487    0.53959286    2.76528001    5.99585915    0.03749476    0.00179732
  0.90000010    0.00773785    0.08098958    0.07325172    0.09554134    0.01862992    0.11629736    0.41534546    0.69640082    0.54289776    2.75377846    5.99839354    0.03227222    0.00146329
  1.00000012    0.00628848    0.06618182    0.05989333    0.09501828    0.01511208    0.09458335    0.41612291    0.69971949    0.54599661    2.73709416    5.97843122    0.02751061    0.00119262
  1.10000014    0.00512038    0.05415822    0.04903784    0.09454481    0.01229945    0.07707125    0.41630960    0.70270330    0.54870158    2.72611141    5.96389818    0.02328618    0.00097362
  1.20000017    0.00417420    0.04436206    0.04018786    0.09409388    0.01000721    0.06289768    0.41711920    0.70530516    0.55123681    2.71513486    5.97013760    0.01960058    0.00079670
  1.30000019    0.00341337    0.03637475    0.03296138    0.09383898    0.00816672    0.05141817    0.41796100    0.70742989    0.55318362    2.70647621    5.94905043    0.01643075    0.00065173
  1.40000021    0.00279225    0.02984290    0.02705065    0.09356511    0.00667136    0.04206613    0.41854346    0.70942831    0.55502754    2.69460917    5.94208527    0.01372263    0.00053446
  1.50000024    0.00228677    0.02450318    0.02221641    0.09332540    0.00545810    0.03445747    0.41896826    0.71111363    0.55658507    2.68624544    5.93507767    0.01143232    0.00043835
  1.60000026    0.00187376    0.02013265    0.01825889    0.09307066    0.00446857    0.02825115    0.41931972    0.71263105    0.55803925    2.68239903    5.94272423    0.00950054    0.00035922
  1.70000029    0.00153761    0.01655117    0.01501356    0.09290062    0.00367043    0.02319502    0.41891909    0.71356565    0.55884248    2.67783856    5.91877985    0.00788674    0.00029596
  1.80000031    0.00126287    0.01361320    0.01235033    0.09276832    0.00301151    0.01905589    0.41934884    0.71438277    0.55966383    2.67890000    5.93625641    0.00653466    0.00024216
  1.90000033    0.00103730    0.01119899    0.01016168    0.09262487    0.00247818    0.01565925    0.41857499    0.71516764    0.56026030    2.67489386    5.92326260    0.00540730    0.00019982
  2.00000024    0.00085221    0.00921352    0.00836131    0.09249611    0.00203256    0.01287226    0.41928187    0.71576583    0.56098020    2.66820407    5.92522812    0.00447380    0.00016396
  2.10000014    0.00070093    0.00758371    0.00688278    0.09242534    0.00167165    0.01058891    0.41930348    0.71619362    0.56137609    2.66635108    5.90461540    0.00369676    0.00013459
  2.20000005    0.00057691    0.00624190    0.00566499    0.09242558    0.00137294    0.00870280    0.42020038    0.71722853    0.56224000    2.65825987    5.92049694    0.00305393    0.00011102
  2.29999995    0.00047537    0.00513929    0.00466392    0.09249663    0.00113224    0.00716756    0.41984510    0.71702033    0.56193137    2.66678834    5.89371920    0.00252247    0.00009186
  2.39999986    0.00039027    0.00423065    0.00384038    0.09224813    0.00092939    0.00589542    0.41992170    0.71761715    0.56270957    2.65339541    5.90274143    0.00208206    0.00007550
  2.49999976    0.00032185    0.00348255    0.00316070    0.09241869    0.00076542    0.00485290    0.42049137    0.71762270    0.56256998    2.66961551    5.89770508    0.00171804    0.00006229
  2.59999967    0.00026478    0.00286888    0.00260410    0.09229247    0.00063022    0.00399489    0.42013037    0.71813655    0.56303513    2.65801978    5.90664053    0.00141664    0.00005111
  2.69999957    0.00021756    0.00236276    0.00214520    0.09207837    0.00051801    0.00328886    0.41998690    0.71841246    0.56350678    2.64004564    5.91761971    0.00116903    0.00004206
  2.79999948    0.00017966    0.00194628    0.00176662    0.09230798    0.00042748    0.00271247    0.42026991    0.71753067    0.56262773    2.66722989    5.93751812    0.00096283    0.00003484
  2.89999938    0.00014810    0.00160281    0.00145472    0.09239806    0.00035162    0.00223317    0.42118353    0.71773171    0.56279969    2.64534068    5.88557100    0.00079314    0.00002862
  2.99999928    0.00012168    0.00132014    0.00119846    0.09217273    0.00028776    0.00183740    0.42285511    0.71848208    0.56393784    2.65780258    5.87464571    0.00065349    0.00002346
  3.09999919    0.00010037    0.00108769    0.00098732    0.09227554    0.00023842    0.00151332    0.42097533    0.71874225    0.56362408    2.68007994    5.94931030    0.00053862    0.00001927
  3.19999909    0.00008213    0.00089555    0.00081342    0.09170911    0.00019602    0.00124778    0.41898659    0.71771520    0.56338829    2.64693189    5.95310450    0.00044465    0.00001598
  3.29999900    0.00006774    0.00073799    0.00067025    0.09178495    0.00016086    0.00102963    0.42108461    0.71674746    0.56300229    2.67957544    5.91256332    0.00036640    0.00001331
  3.39999890    0.00005591    0.00060809    0.00055217    0.09195080    0.00013330    0.00084630    0.41945761    0.71852636    0.56367278    2.63279700    5.83091307    0.00030180    0.00001091
  3.49999881    0.00004631    0.00050088    0.00045457    0.09245455    0.00011073    0.00069749    0.41820067    0.71812195    0.56243587    2.71280599    5.99942064    0.00024840    0.00000900
  3.59999871    0.00003818    0.00041271    0.00037453    0.09251115    0.00009183    0.00057604    0.41577503    0.71644944    0.56077546    2.72288847    6.01078796    0.00020502    0.00000730
  3.69999862    0.00003141    0.00034020    0.00030879    0.09233338    0.00007579    0.00047409    0.41445479    0.71758312    0.56155342    2.68204021    5.91348314    0.00016931    0.00000597
